stat,key,value
watch_year,ALL_TIME,232
watch_year,2026,45
watch_year,2025,101
watch_year,2024,82
watch_year,2023,4
director,Agnès Varda,8
director,Jafar Panahi,8
director,Pedro Almodóvar,7
director,Abbas Kiarostami,5
director,Alfred Hitchcock,5
director,Mikio Naruse,5
director,David Lynch,4
director,Robert Altman,4
director,Werner Herzog,4
director,Akira Kurosawa,3
director,Billy Wilder,3
director,Claire Denis,3
director,Éric Rohmer,3
director,Francis Ford Coppola,3
director,Gregg Araki,3
director,Ingmar Bergman,3
director,Jacques Demy,3
director,King Hu,3
director,Marcel Carné,3
director,Nobuhiko Obayashi,3
director,Barry Sonnenfeld,2
director,Bong Joon Ho,2
director,Carl Theodor Dreyer,2
director,Dario Argento,2
director,David Cronenberg,2
director,Emeric Pressburger,2
director,Fritz Lang,2
director,Jean Cocteau,2
director,Jean-Luc Godard,2
director,John Waters,2
director,Juraj Herz,2
director,Mario Bava,2
director,Michael Powell,2
director,Mira Nair,2
director,Paul Schrader,2
director,Rainer Werner Fassbinder,2
director,Satoshi Kon,2
director,Shinji Sōmai,2
director,Todd Haynes,2
director,Tsai Ming-liang,2
director,Věra Chytilová,2
director,William Friedkin,2
director,Wim Wenders,2
director,Wong Kar-Wai,2
director,Youssef Chahine,2
director,Alice Rohrwacher,1
director,Andrei Tarkovsky,1
director,Ang Lee,1
director,Anna Biller,1
director,Annie Baker,1
director,Ayoka Chenzira,1
director,Basel Adra,1
director,Bette Gordon,1
director,Blake Edwards,1
director,Brian Henson,1
director,Buster Keaton,1
director,Céline Sciamma,1
director,Chad Stahelski,1
director,Christian-Jaque,1
director,Danny DeVito,1
director,David Mirkin,1
director,Dev Patel,1
director,Donna Deitch,1
director,Doug Liman,1
director,Edward Yang,1
director,Elaine May,1
director,Ester Krumbachová,1
director,Federico Fellini,1
director,Fernando Ayala,1
director,Frank Capra,1
director,Frank Ripploh,1
director,Friz Freleng,1
director,Gene Kelly,1
director,George Miller,1
director,Georges Franju,1
director,Gordon Parks Jr.,1
director,Gurinder Chadha,1
director,Gus Van Sant,1
director,Halina Reijn,1
director,Hamdan Ballal,1
director,Hiroshi Teshigahara,1
director,Hong Sang-soo,1
director,Hou Hsiao-hsien,1
director,Ishirō Honda,1
director,Jackie Chan,1
director,Jacques Tati,1
director,James Bidgood,1
director,Jay Roach,1
director,Jean Renoir,1
director,Jean-Pierre Jeunet,1
director,Jean-Pierre Melville,1
director,Jia Zhangke,1
director,Joachim Trier,1
director,Joan Micklin Silver,1
director,Jon Turteltaub,1
director,Joseph H. Lewis,1
director,Joseph L. Mankiewicz,1
director,Joseph Sargent,1
director,Kaneto Shindō,1
director,Karan Tejpal,1
director,Kathleen Collins,1
director,Kathryn Bigelow,1
director,Ken Russell,1
director,Kleber Mendonça Filho,1
director,Lana Wachowski,1
director,Larisa Shepitko,1
director,Lawrence Ah Mon,1
director,Leos Carax,1
director,Les Blank,1
director,Lewis Allen,1
director,Lilly Wachowski,1
director,Louis Malle,1
director,Luca Guadagnino,1
director,Lucy Kerr,1
director,Luis Buñuel,1
director,Mabel Cheung Yuen-Ting,1
director,Masahiro Shinoda,1
director,Masaki Kobayashi,1
director,Med Hondo,1
director,Michael Almereyda,1
director,Michael Haneke,1
director,Michelangelo Antonioni,1
director,Mike Nichols,1
director,Mojtaba Mirtahmasb,1
director,Norman Jewison,1
director,Orson Welles,1
director,Otto Preminger,1
director,Patrick Tam Kar-Ming,1
director,Payal Kapadia,1
director,Rachel Szor,1
director,Rob Reiner,1
director,Rose Glass,1
director,Sam Wood,1
director,Sanjay Gadhvi,1
director,Sara Driver,1
director,Satyajit Ray,1
director,Seijun Suzuki,1
director,Shaunak Sen,1
director,Shekhar Kapur,1
director,Shuchi Talati,1
director,Spike Lee,1
director,Stanley Donen,1
director,Stanley Kubrick,1
director,Stanley Kwan Kam-Pang,1
director,Susan Seidelman,1
director,Terrence Malick,1
director,Tim Burton,1
director,Vishal Bhardwaj,1
director,Wei Shujun,1
director,Yorgos Lanthimos,1
director,Yurii Illienko,1
director,Yuval Abraham,1
language,en,97
language,fr,35
language,ja,21
language,fa,13
language,zh,11
language,de,9
language,es,8
language,cn,6
language,it,6
language,cs,5
language,hi,5
language,ar,3
language,sv,3
language,ko,2
language,ru,2
language,bn,1
language,da,1
language,ml,1
language,no,1
language,pt,1
language,uk,1
companion,Lee,16
companion,Isabel,13
companion,Varnica,12
companion,Yash,9
companion,Eli,8
companion,Jack,6
companion,Kunal,4
companion,Ted,4
companion,Berna,3
companion,Gabriel,3
companion,Gavi,3
companion,Lila,3
companion,Akhil,2
companion,Clio,2
companion,Diane,2
companion,Geneva,2
companion,Hannah,2
companion,Sanjay,2
companion,Sunita,2
